description
"Biker Jacket - Male, Shirt, White Geometric, Synthetic, Spring 2018, brand: ZARA"
"Melange by Lifestyle Off-White Churidar - Melange by Lifestyle, Men, Off-white woven churidar, has a drawstring fastening on the front, color:  White"
"Calvin Klein Jeans Men Black Regular Fit Solid Casual Shirt - Calvin Klein Jeans, Men, Black solid casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 2 flap pockets, color:  Black"
"Karmic Vision Women Off-White & Byrgundy Printed One-Shoulder Top - Karmic Vision, Women, Off-White and Burgundy printed woven regular  top, has an one shoulder, and three-quarter sleeves, color:  White"
"Lavie Women Beige Woven Design Open Toe Flats - Lavie, Women, A pair of beige woven design open-toed flats, has regular styling, no back strap detailSynthetic upperCushioned footbedTextured and patterned outsoleWarranty: 1 monthWarranty provided by brand/manufacturer, color:  Beige"
"Archies Love Gifts White & Black 2-Pieces Printed Ceramic Mugs Set - Archies, Unisex, Content: 2 pieces mugs setPattern: PrintedFinish: MatteMaterial: CeramicFeatures: Dishwasher and Microwave Safe, color:  Black"
"Flying Machine Men Navy Blue & White Slim Fit Striped Casual Shirt - Flying Machine, Men, Navy Blue and White striped casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 2 patch pockets, color: Blue"
"Alena Women Orange Printed Straight Kurta - Alena, Women, Orange printed straight kurta, has a mandarin collar, three-quarter sleeves, straight hem, and side slits, color:  Orange"
"DressBerry Women Blue Solid Denim Jacket - DressBerry, Women, Blue solid jacket, has a spread collar, 2 pockets, button closure, long sleeves, straight hem, unlined, color: Blue"
"Flying Machine Men Blue Jackson Skinny Fit Low-Rise Clean Look Stretchable Jeans - Flying Machine, Men, Blue medium wash 5-pocket low-rise jeans, clean look, light fade, has a button and zip closure, and waistband with belt loops, color: Blue"
"Karmic Vision Women Beige Solid Lace Detail Top - Karmic Vision, Women, Beige solid woven regular top with lace detail, has a boat neck, long sleeves, color:  Beige"
"Bodycare Pack of 4 Assorted Solid Non-Wired Non Padded Everyday Bra E1507DPEWIPIB - Bodycare, Women, Pack of 4 Assorted solid full-coverage Everyday braNon Padded and Non-Wired seamless cupsRegular straps and back closureBack style: RegularFeature: All Day Comfort, color:  Red"
"Karmic Vision Women Black Solid Top - Karmic Vision, Women, Black solid woven regular top with lace inserts, has a round neck, short extended sleeves, color:  Black"
"Deco Window Brown Set of 3 Ethnic Motifs Square Cushion Covers - Deco Window, Unisex, Set content: 3 Cushion Covers Colour: Brown Shape: Square Pattern: Ethnic Motifs Closure: Zip, color:  Brown"
"Indian Terrain Boys Brown Printed Round Neck T-shirt - Indian Terrain, Boys, Brown printed T-shirt, has a round neck, and long sleeves, color:  Brown"
"Karmic Vision Women Black & Off-White Colourblocked Top - Karmic Vision, Women, Black and off-white colourblocked woven regular top with lace inserts, has a round neck, and three-quarter sleeves, color:  Black"
"Archies Love Gifts White & Yellow Printed Ceramic Cup - Archies, Unisex, Pattern: PrintedFinish: MatteMaterial: Ceramic, color:  Yellow"
"Taavi Women Red & White Ikat Woven Design A-Line Dress with Shirt Collar & Gathers - Taavi, Women, Special Technique/Craft:The term ""Ikat"" refers to the resist dyeing technique used to create the designs on the fabric. It is different because the yarns are dyed before being woven into cloth. Fashion trends may come and go, but Ikat fabrics have always stood the test of time.Design:Region: Andhra PradeshRed and whiteWoven design A-line dressShirt collarSleevelessFlared hemGathered getailCraft: IkatDisclaimer:This is a handcrafted dress and is prone to colour bleeding due to the use of natural dyesThe print on the garment might be uneven, owing to the handcrafted nature of the product, adding essence to the garment., color:  Red"
"Indian Terrain Boys Yellow Printed Hooded Sweatshirt - Indian Terrain, Boys, Yellow printed sweatshirt, has a hood, two pockets, long sleeves, straight hem, color:  Yellow"
"Flying Machine Men Black & Mustard Yellow Slim Fit Checked Casual Shirt - Flying Machine, Men, Black and Mustard Yellow checked casual shirt, has a button-down collar, long sleeves, button placket, curved hem, and 1 patch pocket, color:  Yellow"
"Archies Love Gifts White Printed Ceramic Cup - Archies, Unisex, Pattern: PrintedFinish: MatteMaterial: Ceramic, color:  White"
"Flying Machine Men Blue & Black Slim Fit Checked Casual Shirt - Flying Machine, Men, Blue and black checked casual shirt, has a button-down collar, long sleeves, button placket, curved hem, 1 patch pocket, color: Blue"
"Flying Machine Men White Printed Polo Collar T-shirt - Flying Machine, Men, White printed T-shirt, has a polo collar neck, short sleeves, color:  White"
"Calvin Klein Jeans Men Green & White Regular Fit Checked Casual Shirt - Calvin Klein Jeans, Men, Green and White checked casual shirt, has a button-down collar, long sleeves, button placket, and curved hem, color:  Green"
"ADORENITE Women White Solid Sleep Shirt - ADORENITE, Women, White solid sleep shirt, has shirt collar, and long sleeves, color:  White"
"Hancock Men Maroon Slim Fit Checked Formal Trousers - Hancock, Men, Maroon checked mid-rise trousers, hook and bar closure, and 4 pocketsDisclaimer: The stylist has paired this pair of trousers with a belt. This pair of trousers does not come with a belt., color:  Maroon"
"Karmic Vision Women Green Solid Layered Maxi Dress - Karmic Vision, Women, Green solid woven layered maxi dress, has a V-neck, short sleeves, concealed zip closure, an attached lining, flared hem, back slit, color:  Green"
"Caprese Navy Blue & Gold-Toned Striped Shoulder Bag - Caprese, Women, Navy Blue & Gold Toned striped shoulder bag, has a zip closure1 main compartment, 1 external and 4 inner pocketsTablet sleeve: NoTwo Handles, color: Blue"
"Archies Love Gifts White Printed Ceramic Cup - Archies, Unisex, Pattern: PrintedFinish: MatteMaterial: Ceramic, color:  White"
"Eego Italy Men Tan Brown Solid High-Top Flat Boots - Eego Italy, Men, A pair of round-toe tan brown flat boots, has high-top styling, lace-up detailSynthetic upperCushioned footbedTextured and patterned outsoleWarranty: 1 monthWarranty provided by brand/manufacturer, color:  Brown"
"Karmic Vision Women Blue Solid Layered A-Line Dress - Karmic Vision, Women, Blue solid woven layered A-line dress with pleated detail, has a round neck, long sleeves, concealed zip closure, an attached lining, and flared hem, color: Blue"
"Flying Machine Men Charcoal Grey & Off-White Printed Round Neck T-shirt - Flying Machine, Men, Charcoal grey and Off-white printed t-shirt, has a round neck, short sleeves, color:  White"
"BuckleUp Women Black Solid Heels - BuckleUp, Women, A pair of black pointy-toed heels, has regular styling, ankle loop detailSynthetic upperCushioned footbedTextured and patterned outsole, has a block heelWarranty: 1 monthWarranty provided by brand/manufacturer, color:  Black"
"Indian Terrain Boys Navy Blue Solid Polo Collar T-shirt - Indian Terrain, Boys, Navy Blue solid T-shirt, has a polo collar, and short sleeves, color: Blue"
"GAP Men Charcoal Grey Long Sleeve Henley Neck T-Shirt - GAP, Men, Charcoal Grey Soft jersey knitLong raglan contrast sleevesCrew neck, henley buttons at frontAll over solid, color:  Grey"
"Roadster Unisex Navy Blue & Grey Self Design Scarf - Roadster, Unisex, Navy Blue and Grey self-design Scarf and has a solid border, color: Blue"
"Bamboo Tree Jewels Blue Metal Handcrafted Necklace - Bamboo Tree Jewels, Women, Blue handcrafted necklaceMaterial and stone type: Metal with Artificial BeadsClosure: Drawstring, color: Blue"
"Calvin Klein Men Grey Textured Leather Two Fold Wallet - Calvin Klein, Men, Grey textured two fold wallet2 main compartments 8 card holders, 2 slip pockets, color:  Red"
"CHROME & CORAL Women Blue Printed Joggers LWR_5001 - CHROME & CORAL, Women, A pair of blue printed joggers, has an elasticated waistband with drawstring fastening, color: Blue"
"Vishudh Women Grey & Gold-Toned Printed Wide-Leg Palazzos - Vishudh, Women, A pair of Grey and Gold-toned printed woven wide leg fit Palazzos, opaque, 2 pockets, and slip-on closure, color:  Grey"
"Taavi Women Grey & White Ikat Woven Design A-Line Dress with Shirt Collar - Taavi, Women, Special Technique/Craft:The term Ikat refers to the resist dyeing technique used to create the designs on the fabric. It is different because the yarns are dyed before being woven into cloth. Fashion trends may come and go, but Ikat fabrics have always stood the test of time.Design:Region: Andhra PradeshGrey and whiteWoven design A-Line dressHas a shirt collarThree-quarter SleevelessStraight hemIkatDisclaimer: This is a handcrafted dress, and is prone to colour bleeding due to use of natural dyesThe print on the garment might be uneven owning to the handcrafted nature of the product, adding essence to the garment., color:  White"
"Geroo Jaipur Blue Hand Block Printed Pure Cotton High-Low Top - Geroo Jaipur, Women, Navy Blue and white printed handloom high-low top, has a mandarin collar, three-quarter sleeves, and button closure, color: Blue"
"Mast & Harbour Women Navy Blue & Off White Striped T-shirt Dress - Mast & Harbour, Women, Navy blue and off-white striped knitted t-shirt dress, has a round neck, short sleeves, straight hem, color: Blue"
"Indian Terrain Boys Blue Solid Hooded T-shirt - Indian Terrain, Boys, Blue  solid T-shirt, has a hood, and long sleeves, color: Blue"
"Indian Terrain Boys Coral Printed Round Neck T-shirt - Indian Terrain, Boys, Coral printed T-shirt, has a round neck, and short sleeves, color: Unknown"
"Archies Love Gifts White & Red Printed Coffee Mug - Archies, Unisex, Pattern: PrintedFinish: MatteMaterial: Ceramic, color:  Red"
"Flying Machine Men Dark Grey Michael Slim Tapered Fit Mid-Rise Clean Stretchable Jeans - Flying Machine, Men, Dark grey dark wash 5-pocket mid-rise jeans, clean look with light fade, has a button and zip closure, waistband with belt loops, color:  Red"
"Campus Women Black Mesh Running Shoes - Campus, Women, A pair of black running sports shoes, has regular styling, lace-up detailMesh upperCushioned footbedTextured and patterned outsoleCampus's Alexa comes with a smooth, lightweight performance and a bold look. An updated Flyknit upper contours to your foot with a minimal, supportive design.Underfoot, durable technology defies the odds by being both soft and responsive. It's also ultra-soft and incredibly springy. With every step, the foam responds to your foot by snapping back. The more energy you put into your step, the more you get in return. The lightweight upper gives you plenty of stretch and airflow while you run. It contours to your foot for support with every step. The all-new molding on the heel makes it an eye-catching shoe. It helps keep your foot stable, for an even more secure feel with every stride.Warranty: 30 daysWarranty provided by brand/manufacturer, color:  Black"
"Lavie Women Black Solid Wedges - Lavie, Women, A pair of black open toe wedges with texture detail, has regular styling, open back detailSynthetic upperCushioned footbedTextured and patterned outsole, has a wedge heelWarranty: 1 monthWarranty provided by brand/manufacturer, color:  Black"
"OBSESSIONS Set of 4 Transparent & Black Printed Ceramic Bath Accessories - OBSESSIONS, Unisex, Set content: 1 soap dispenser, 1 soap dish, 1 tumbler and 1 brush holderColour: Transparent and blackMaterial: GlassPattern: Printed, color:  Black"
"Calvin Klein Jeans Men Black Printed Straight Fit Joggers - Calvin Klein Jeans, Men, Black printed joggers, has an elasticated waistband with drawstring closure, four pockets, color:  Black"
"Moda Rapido Women Blue Skinny Fit High-Rise Clean Look Stretchable Jeans - Moda Rapido, Women, Blue medium wash 5-pocket high-rise jeans, clean look, light fade, has a button and zip closure, and waistband with belt loops, color: Blue"
"Minions by Kook N Keech Women White & Black Printed Hooded Sweatshirt - Minions by Kook N Keech, Women, White and Black printed sweatshirt, has a hood, two pockets, long sleeves, straight hem, color:  Black"
"Mast & Harbour Women Green Solid Bomber Jacket - Mast & Harbour, Women, Green solid jacket, has a stand collar, 2 pockets, zip closure, long sleeves, straight hem, and polyester, color:  Green"
"Canary London Men Grey & Olive Green Checked Slim-Fit Single-Breasted Blazer - Canary London, Men, Grey and olive green checked formal blazer, has a notched lapel collar, single-breasted with double button closures, long sleeves, three pockets, and a double vented hem on the back, color:  Green"
"Latin Quarters Women Off-White & Red Floral Print Kaftan Top - Latin Quarters, Women, Off-white and red printed woven kaftan top, has a tie-up neck, and three-quarter sleeves, color:  Red"
"Eego Italy Men Brown Comfort Sandals - Eego Italy, Men, A pair of brown comfort sandalsSynthetic Leather upper with slip-on closureCushioned footbedPatterned rubber outsoleWarranty: 1 monthWarranty provided by brand/manufacturer, color:  Brown"
"BuckleUp Women Peach-Coloured Solid T-Strap Flats - BuckleUp, Women, A pair of peach-coloured open-toed flats, has regular styling, ankle loop detailSynthetic upperCushioned footbedTextured and patterned outsole, color:  Red"
"ANTS Women Peach-Coloured Regular Fit Solid Layered High-Low Casual Shirt - ANTS, Women, Peach-coloured solid layered casual shirt, has a spread collar, sleeveless, full button placket, and high-low hem, color:  Red"
"ANTS Women Navy Blue Regular Fit Solid Layered High-Low Casual Shirt - ANTS, Women, Navy blue solid layered casual shirt, has a spread collar, sleeveless, full button placket, and high-low hem, color: Blue"
"Truffle Collection Women Grey Woven Design Open Toe Flats - Truffle Collection, Women, A pair of grey woven design open-toed flats, has regular styling, slip-on detailSynthetic upperCushioned footbedTextured and patterned outsole, color:  Grey"
"Kappa Grey Melange Shorts - Kappa, Men, A pair of grey melange woven mid-rise shorts, has two pockets, an elasticated waistband with a drawstring fastening, mesh panels, color:  Grey"
"Karmic Vision Women Navy Blue Solid Top - Karmic Vision, Women, Navy Blue solid woven regular top with lace inserts, has a boat neck, and short sleeves, color: Blue"
"Flying Machine Men Blue Michael Slim Tapered Fit Mid-Rise Clean Look Stretchable Jeans - Flying Machine, Men, Blue dark wash 5-pocket mid-rise jeans, clean look, light fade, has a button and zip closure, and waistband with belt loops, color: Blue"
"mf Women Navy Blue & Teal Green Pure Cotton Unstitched Dress Material - mf, Women, Navy Blue and teal green embroidered unstitched dress materialNavy Blue embroidered kurta fabricNavy Blue solid bottom fabricTeal green woven design dupatta, has taping borderDisclaimer: Images are for referral purposes only. The actual product is unstitched, color: Blue"
"Indian Terrain Boys White Printed Round Neck T-shirt - Indian Terrain, Boys, White printed T-shirt, has a round neck, and long sleeves, color:  White"
"Priyaasi Multicoloured 18K Gold-Plated Handcrafted Beaded Circular Jhumkas - Priyaasi, Women, Multicoloured handcrafted circular jhumkas, 18K gold-plated, and has artificial stones and beads, attached multistranded ear chainSecured with a post and back closure, color:  Red"
"Genie Women Black Printed 15 inches Small Backpack - Genie, Women, Black backpackNon-Padded haul loop1 main compartment with zip closureNon-Padded backMultiple PocketsPadded shoulder strap: Non-PaddedWater-resistance: YesWarranty: 1 yearWarranty provided by brand/manufacturer, color:  Black"
"Flying Machine Men Grey Slim Fit Printed Casual Shirt - Flying Machine, Men, Grey printed casual shirt, has a button-down collar, long sleeves, button placket, and curved hem, color:  Grey"
"Divine Casa Blue & Green Solid AC Room 110 GSM Single Bed Quilt - Divine Casa, Unisex, Set content: Single bed quilt Usage: AC Room GSM: 110 Colour: Blue and Green Pattern: Solid Quilt, color: Blue"
"Karmic Vision Women Brown & White Panelled Detail Cold-Shoulder Top - Karmic Vision, Women, Brown and White solid woven regular  top, has a round neck, and three-quarter sleeves, color:  White"
"Flying Machine Men Black Printed Round Neck T-shirt - Flying Machine, Men, Brown printed T-shirt, has a round neck, and short sleeves, color:  Black"
"RARE Women Off-White Solid Top - RARE, Women, Off-White solid knitted regular top with beaded detail, has a round neck, and long sleeves, color:  White"
"Indian Terrain Boys Blue Solid Polo Collar T-shirt - Indian Terrain, Boys, Blue solid T-shirt, has a polo collar, short sleeves and button closure, color: Blue"
"Bonjour Women Pack of 4 Assorted Ankle Length Socks - Bonjour, Women, Pack of four assorted ankle length socks, each has an elasticated mouth and a flat-toe seam.Note: The final product delivered might vary in colour and prints from the display here, color: Unknown"
"FAUSTO Women White Slip-On Sneakers with Green Stripe Detail - FAUSTO, Women, A pair of round-toe white slip-on sneakers, has regular styling, slip-on detailSynthetic upperCushioned footbedTextured and patterned outsole, color:  Green"
"Flying Machine Men Blue Jackson Skinny Fit Low-Rise Clean Look Stretchable Jeans - Flying Machine, Men, Blue light wash 5-pocket low-rise jeans, clean look, light fade, has a button and zip closure, and waistband with belt loops, color: Blue"
"ADIVA Girls White Maxi Dress - ADIVA, Girls, White self-design knitted and woven maxi %S, has a V-neck, sleeveless, an attached lining, and flared hem, has embellished detail, color:  White"
"Karmic Vision Women Pink Solid One-Shoulder Top - Karmic Vision, Women, Pink solid woven regular top with lace inserts, has one shoulder, and three-quarter sleeves, color:  Pink"
"Lavie Women Navy Blue & Gunmetal-Toned Snakeskin Textured T-Strap Flats - Lavie, Women, A pair of navy blue and gunmetal-toned open-toed flats, has regular styling, buckle detailSynthetic snakeskin textured upper with buckle detailCushioned footbedTextured and patterned outsoleWarranty: 1 monthWarranty provided by brand/manufacturer, color: Blue"
"Indian Terrain Boys Navy Blue & White Striped Polo Collar T-shirt - Indian Terrain, Boys, Blue and white striped polo collar T-shirt, has a polo collar, and short sleeves, color: Blue"
"Calvin Klein Men Coffee Brown Solid Leather Belt - Calvin Klein, Men, Coffee Brown solid beltReversible: NoStretchable: NoSecured with a push pin, color:  Brown"
"Janasya Women Peach-Coloured Printed A-Line Kurta - Janasya, Women, Peach-Coloured printed A-line kurta, has a round neck, short sleeves, and flared hem, color:  Red"
"KARATCART Maroon Gold-Plated Floral Beaded Drop Earrings - KARATCART, Women, Maroon Floral drop Earrings, gold-plated, and has artificial stones and beadsSecured with a post and back closureWarranty: 1 monthWarranty provided by Brand Owner / Manufacturer, color:  Maroon"
"FAUSTO Women Brown Slip-On Sneakers - FAUSTO, Women, A pair of round-toe brown slip-on sneakers, has regular styling, slip-on detailCanvas upperCushioned footbedTextured and patterned outsole, color:  Brown"
"Indian Terrain Boys Red Colourblocked Reversible Bomber - Indian Terrain, Boys, Red and Navy Blue colourblocked jacket, has a mock collar, 2 pockets, zip closure, long sleeves, straight hem, and polyester lining, color:  Red"
"Truffle Collection Women Beige Loafers - Truffle Collection, Women, A pair of round-toe beige loafers, has regular styling, slip-on detailSynthetic upperCushioned footbedTextured and patterned outsole, color:  Beige"
"Mast & Harbour Men Rust Orange Solid Pullover Sweater - Mast & Harbour, Men, Rust solid pullover sweater, has a turtle neck with drawstring, long sleeves, and ribbed hem, color:  Orange"
"Knotyy Men Pack of 2 Beanies - Knotyy, Men, Pack of two beaniesBlack and white self design beanieWhite, black, and red self design beanie, has an upturned hem, color: Unknown"
"Janasya Women Navy Blue Printed Anarkali Kurta - Janasya, Women, Navy Blue printed anarkali kurta, has a round neck, three-quarter sleeves, and flared hem, color: Blue"
"Priyaasi Women Set Of 8 Red Gold-Plated Stone-Studded Handcrafted Bangles - Priyaasi, Women, Set of eight red gold-plated handcrafted banglesEach has stone-studded and silk-threaded detail, slip-on closure, color:  Red"
"Roadster Men Navy Blue Striped Hooded Sweatshirt - Roadster, Men, Navy Blue striped sweatshirt, has a hood, two pockets, long sleeves, zip closure, straight hem, color: Blue"
"Chemistry Women Peach-Coloured & Off-White Printed Top - Chemistry, Women, Peach-coloured and off-white printed woven regular top, has a round neck, short sleeves, and button closure, color:  Red"
"Lavie Women White & Black Prince of Wales Print Block Heels - Lavie, Women, A pair of black & white prince of wales print open toe block heels, has mid-top styling, ankle loop with buckle detailSynthetic upperCushioned footbedTextured and patterned outsole, has a block heelWarranty: 1 monthWarranty provided by brand/manufacturer, color:  Black"
"FAUSTO Women Maroon Slip-On Sneakers - FAUSTO, Women, A pair of round-toe maroon slip-on sneakers, has regular styling, slip-on detailCanvas upperCushioned footbedTextured and patterned outsole, color:  Maroon"
"Newport Men Grey Melange Printed Round Neck T-shirt - Newport, Men, Grey Melange printed T-shirt, has a round neck, and short sleeves, color:  Grey"
"Lavie Women White Cut-Out Platform Heels - Lavie, Women, A pair of white open toe platform heels with cut-out detail, has regular styling, backstrap with buckle detailSynthetic upper Cushioned footbedTextured and patterned outsole, has a platform heelWarranty: 1 monthWarranty provided by brand/manufacturer, color:  White"
"Clovia Cotton Non-Padded Non-Wired Bra - Clovia, Women, Black and turquoise blue colourblocked full-coverage Everyday braNon Padded and Non-Wired cut and sew cupsRegular straps and back closureBack style: RegularFeature: All Day Comfort, color:  Red"
"Lavie Women Beige Solid Block Heels - Lavie, Women, A pair of beige open toe block heels, has regular styling, backstrap detail with buckle detailSynthetic upperCushioned footbedTextured and patterned outsole, has a block heelWarranty: 1 monthWarranty provided by brand/manufacturer, color:  Beige"
"Flying Machine Men Black Printed Round Neck T-shirt - Flying Machine, Men, Black printed T-shirt, has a round neck, and short sleeves, color:  Black"
"Alena Women Navy Blue Printed Straight Kurta - Alena, Women, Navy Blue printed straight kurta, has a mandarin collar, three-quarter sleeves, straight hem, and multiple slits, color: Blue"
"Minions by Kook N Keech Women Yellow Printed Hooded Sweatshirt - Minions by Kook N Keech, Women, Yellow printed sweatshirt, has a hood, one pocket, long sleeves, straight hem, color:  Yellow"
"Archies Love Gifts Multicolured Printed Ceramic Mug - Archies, Unisex, Type: MugPattern: PrintedFinish: MatteMaterial: Ceramic, color:  Red"
"Archies Love Gifts White & Black Printed Ceramic Mug - Archies, Unisex, Content: 1 piece mugPattern: PrintedFinish: MatteMaterial: CeramicFeatures: Dishwasher and Microwave Safe, color:  Black"
"Archies Love Gifts Multicolured Printed Ceramic Coffee Mug - Archies, Unisex, Type: MugPattern: PrintedFinish: MatteMaterial: Ceramic, color:  Red"
"TREEMODA Men Black Embroidered Chikankari Linen Kurta with Churidar - TREEMODA, Men, Black chikankari kurta with churidarBlack self design straight knee length kurta, has a mandarin collar, long sleeves, straight hemBlack solid churidar, has acdrawstring closure, color:  Red"
"Karatcart Gold-plated Kundan-Studded Beaded Ring Bracelet - KARATCART, Women, Gold-plated ring braceletMaterial and stone type: Alloy with kundan and artificial beadsClosure: HookWarranty: 1 monthWarranty provided by brand/manufacturer, color:  Gold"
"Indian Terrain Boys Blue Colourblocked Polo Collar T-shirt - Indian Terrain, Boys, Blue colourblocked T-shirt with typography embroidered and print detail, has a polo collar, button closure and long sleeves, color: Blue"
"HIGHLANDER Men White Slim Fit Solid Casual Shirt - HIGHLANDER, Men, White solid casual shirt, has a mandarin collar, long sleeves, button placket, curved hem, and 1 patch pocket, color:  White"
"Karmic Vision Women Red Solid Lace Inserts Top - Karmic Vision, Women, Red solid knitted regular top with lace inserts detailing, has a high neck, long sleeves, and button closure, color:  Red"
"AKKRITI BY PANTALOONS Women Pink Printed Shirt Style Top - AKKRITI BY PANTALOONS, Women, Pink printed woven shirt style  top, has a mandarin collar, three-quarter sleeves, and button closure, color:  Pink"
"FAUSTO Women Blue Slip-On Sneakers - FAUSTO, Women, A pair of round-toe blue slip-on sneakers, has regular styling, slip-on detailCanvas upperCushioned footbedTextured and patterned outsole, color: Blue"
"Indian Terrain Boys Blue Solid Hooded T-shirt - Indian Terrain, Boys, Blue and Red solid T-shirt, has a hood, and long sleeves, color: Blue"
"BownBee Girls Purple & Mustard Yellow Embellished Kurta Set - BownBee, Girls, Purple and mustard yellow embellished kurta with dhoti pantsPurple straight above knee kurti with embellished detail, has a round neck, sleeveless, straight hemMustard yellow printed dhoti pants, slip-on closurePurple and mustard yellow colourblocked dupatta, has a taping border, color:  Yellow"
"Mast & Harbour Women Beige & Black Regular Fit Checked Cropped Trousers - Mast & Harbour, Women, Beige and black checked mid-rise trousers, has a waistband with belt loops and attached belt, button closure, zip fly, and two pockets, color:  Black"
"Mast & Harbour Women Charcoal Grey Solid Sweatshirt - Mast & Harbour, Women, Charcoal grey solid sweatshirt, has long sleeves, round neck, straight hem, color:  Grey"
"ComicSense.xyz Men Orange Printed Round Neck T-shirt - ComicSense.xyz, Men, Orange printed T-shirt, has a round neck, and short sleeves, color:  Orange"
"Flying Machine Men Black Printed Round Neck T-shirt - Flying Machine, Men, Black printed T-shirt, has a round neck, and short sleeves, color:  Black"
"KARATCART Green Gold-Plated Beaded Enamelled Floral Chandbalis - KARATCART, Women, Green Floral chandbalis with enamelled detail, gold-plated, and has artificial stones and beadsSecured with a post and back closureWarranty: 1 monthWarranty provided by Brand Owner / Manufacturer, color:  Green"
"Flying Machine Men Blue Slim Tapered Michael Fit Mid-Rise Clean Look Stretchable Jeans - Flying Machine, Men, Blue medium wash 5-pocket mid-rise jeans, clean look, heavy fade, has a button and zip closure, and waistband with belt loops, color: Blue"
"HIGHLANDER Men Grey Striped Polo Collar T-shirt - HIGHLANDER, Men, Grey and Black striped T-shirt, has a polo collar, and short sleeves, color:  Grey"
"Hypernation Men Purple Solid Turtle Neck Slim Fit T-shirt - Hypernation, Men, Purple solid T-shirt, has a turtle neck, and long sleeves, color:  Purple"
"GIORDANO Beige Solid Shoulder Bag - GIORDANO, Women, Beige solid shoulder bag, has a zip closure2 main compartments, 1 external and 5 inner pocketsTablet sleeve: NoTwo Handles with a detachable sling strapWarranty: 1 yearWarranty provided by brand/manufacturer, color:  Beige"
"Priyaasi Women Set of 4 Red Gold-Plated Stone-Studded Handcrafted Bangles - Priyaasi, Women, Set of four red gold-plated handcrafted banglesEach has stone-studded and silk-threaded detail, slip-on closure, color:  Red"
"FAUSTO Men Brown Slip-On Sneakers - FAUSTO, Men, A pair of round-toe brown slip-on sneakers, has regular styling, slip-on detailSynthetic upperCushioned footbedTextured and patterned outsole, color:  Brown"
"Indian Terrain Boys White Printed Round Neck T-shirt - Indian Terrain, Boys, White printed T-shirt, has a round neck, and long sleeves, color:  White"
"Lavie Women Tan Brown Solid Wedges - Lavie, Women, A pair of tan brown open toe wedges with metallic detail, has regular styling, backstrap detailSynthetic upperCushioned footbedTextured and patterned outsole, has a wedge heelWarranty: 1 monthWarranty provided by brand/manufacturer, color:  Brown"
"Mast & Harbour Men Burgundy Solid Sweatshirt with Colourblocked Detail on Sleeve - Mast & Harbour, Men, Burgundy solid sweatshirt, long drop-shoulder sleeve, has a round neck, straight hem,, color:  Burgundy"
"Mast & Harbour Women Navy Blue Solid Bomber Jacket - Mast & Harbour, Women, Navy Blue solid jacket, has a stand collar, 2 pockets, zip closure, long sleeves, straight hem, and polyester, color: Blue"
"Force NXT Men Blue & White Printed Lounge Pants - Force NXT, Men, Blue & white printed Lounge Pants, has a drawstring closure, 2 pockets, color: Blue"
"GIORDANO Women Brown Solid Sandals - GIORDANO, Women, A pair of brown open toe sandals, has regular styling, backstrap detail, has embellished detailSynthetic upperCushioned footbedTextured and patterned outsole, has a flatform heelWarranty: 1 yearWarranty provided by brand/manufacturer, color:  Brown"
"Flying Machine Men Mustard Yellow & Navy Blue Striped Round Neck T-shirt - Flying Machine, Men, Mustard yellow and navy blue striped T-shirt, has a round neck, short sleeves, color: Blue"
"Indian Terrain Boys Brown & Black Regular Fit Printed Chinos - Indian Terrain, Boys, Brown and Black printed mid-rise trousers, button closure, and 5 pockets, color:  Black"
"Story@home Green Single Jacquard Window Curtain - Story@home, Unisex, Set content: Single Window curtainColour: GreenPattern: Floral WindowLight blocking: RegularFitting: EyeletLining: Yes, color:  Green"
"FAUSTO Men Tan Brown Sneakers - FAUSTO, Men, A pair of round-toe tan brown sneakers, has regular styling, lace-up detailSynthetic upperCushioned footbedTextured and patterned outsole, color:  Brown"
"Flying Machine Men Black & Red Printed Round Neck T-shirt - Flying Machine, Men, Black and Red printed T-shirt, has a round neck, and short sleeves, color:  Red"
"Flying Machine Men Blue Micheal Slim Tapered Fit Mid-Rise Clean Look Stretchable Jeans - Flying Machine, Men, Blue medium wash 5-pocket mid-rise jeans, clean look, light fade, has a button and zip closure, and waistband with belt loops, color: Blue"
"Archies Love Gifts White & Black Ceramic Mug for Valentine - Archies, Unisex, Pattern: PrintedFinish: MatteMaterial: Ceramic, color:  Black"
"Indian Terrain Boys Red Solid Polo Collar T-shirt - Indian Terrain, Boys, Red solid T-shirt, has a polo collar, and short sleeves, color:  Red"
"Indian Terrain Boys Maroon Solid Reversible Hooded Sweatshirt - Indian Terrain, Boys, Maroon solid reversible sweatshirt, has a hood, two pockets, long sleeves, zip closure, hem with toggle hem, color:  Maroon"
"Flying Machine Men Blue Micheal Slim Tapered Fit Mid-Rise Clean Look Stretchable Jeans - Flying Machine, Men, Blue medium wash 5-pocket mid-rise jeans, clean look, light fade, has a button and zip closure, and waistband with belt loops, color: Blue"
"DressBerry Women Blue Washed Denim Jacket - DressBerry, Women, Blue solid denim jacket with printed detail on the back, has a spread collar, 2 pockets, button closure, long sleeves, straight hem, unlined, color: Blue"
"CHROME & CORAL Women Black Solid Tights - CHROME & CORAL, Women, Black Solid Tights, has an elasticated waistband, slip-on closure, color:  Black"
